candidate_id,rank,score,reasoning
CAND_0071974,1,0.976904,"Senior AI Engineer with 7.8 years in Vizag, Andhra Pradesh; profile shows hybrid retrieval, information retrieval and trusted skills in embeddings, information retrieval, sentence transformers. Behavioral score is 0.83: last active 2026-04-16, response rate 0.76, notice 45 days."
CAND_0077337,2,0.975133,"Staff Machine Learning Engineer with 7.0 years in Kochi, Kerala; profile shows hybrid retrieval, dense vector and trusted skills in semantic search, information retrieval, recommendation systems. Behavioral score is 0.87: last active 2026-05-26, response rate 0.95, notice 60 days."
CAND_0081846,3,0.959597,"Lead AI Engineer with 6.7 years in Jaipur, Rajasthan; profile shows hybrid retrieval, dense vector and trusted skills in embeddings, semantic search, vector search. Behavioral score is 0.83: last active 2026-05-03, response rate 0.73, notice 30 days."
CAND_0002025,4,0.955816,"Senior AI Engineer with 5.9 years in Trivandrum, Kerala; profile shows hybrid retrieval, dense vector and trusted skills in recommendation systems, sentence transformers, faiss. Behavioral score is 0.88: last active 2026-05-26, response rate 0.80, notice 30 days."
CAND_0018499,5,0.949076,"Senior Machine Learning Engineer with 7.2 years in Noida, Uttar Pradesh; profile shows hybrid retrieval, dense vector and trusted skills in embeddings, information retrieval, recommendation systems. Behavioral score is 0.84: last active 2026-05-13, response rate 0.61, notice 15 days."
CAND_0041610,6,0.940388,"Recommendation Systems Engineer with 6.7 years in Indore, Madhya Pradesh; profile shows embedding-based retrieval, recommendation and trusted skills in embeddings, recommendation systems, learning to rank. Behavioral score is 0.81: last active 2026-05-14, response rate 0.52, notice 30 days."
CAND_0088025,7,0.939205,"Staff Machine Learning Engineer with 8.6 years in Jaipur, Rajasthan; profile shows hybrid retrieval, dense vector and trusted skills in learning to rank, bm25, pinecone. Behavioral score is 0.83 with last activity 2026-05-14; concern: 90-day notice."
CAND_0041669,8,0.936257,"Recommendation Systems Engineer with 8.0 years in Noida, Uttar Pradesh; profile shows semantic search, information retrieval and trusted skills in semantic search, information retrieval, faiss. Behavioral score is 0.82: last active 2026-04-06, response rate 0.77, notice 60 days."
CAND_0011162,9,0.932982,"Recommendation Systems Engineer with 5.8 years in Coimbatore, Tamil Nadu; profile shows embedding-based retrieval, vector search and trusted skills in embeddings, vector search, sentence transformers. Behavioral score is 0.75 with last activity 2026-05-10; concern: 90-day notice."
CAND_0049538,10,0.928098,"Applied ML Engineer with 5.8 years in Jaipur, Rajasthan; profile shows embedding-based retrieval, vector search and trusted skills in embeddings, vector search, recommendation systems. Behavioral score is 0.80: last active 2026-05-27, response rate 0.72, notice 30 days."
CAND_0066999,11,0.926653,"Recommendation Systems Engineer with 5.9 years in Delhi, Delhi; profile shows information retrieval, recommendation and trusted skills in embeddings, information retrieval, bm25. Behavioral score is 0.79: last active 2026-04-05, response rate 0.63, notice 15 days."
CAND_0052328,12,0.922491,"Recommendation Systems Engineer with 6.5 years in Pune, Maharashtra; profile shows vector search, recommendation and trusted skills in vector search, recommendation systems, sentence transformers. Behavioral score is 0.82: last active 2026-03-31, response rate 0.79, notice 30 days."
CAND_0064326,13,0.922209,"Search Engineer with 7.6 years in Gurgaon, Haryana; profile shows semantic search, recommendation and trusted skills in semantic search, bm25, weaviate. Behavioral score is 0.88: last active 2026-05-21, response rate 0.94, notice 45 days."
CAND_0007009,14,0.922187,"Recommendation Systems Engineer with 7.9 years in Noida, Uttar Pradesh; profile shows semantic search, recommendation and trusted skills in embeddings, sentence transformers, learning to rank. Behavioral score is 0.74: last active 2026-03-19, response rate 0.62, notice 30 days."
CAND_0074735,15,0.915640,"Applied ML Engineer with 5.5 years in Chandigarh, Chandigarh; profile shows semantic search, vector search and trusted skills in semantic search, vector search, information retrieval. Behavioral score is 0.79 with last activity 2026-03-28; concern: 90-day notice."
CAND_0039838,16,0.915344,"Recommendation Systems Engineer with 4.9 years in Kochi, Kerala; profile shows semantic search, vector search and trusted skills in embeddings, semantic search, vector search. Behavioral score is 0.76 with last activity 2026-04-21; concern: 90-day notice."
CAND_0068811,17,0.914899,"Applied ML Engineer with 8.0 years in Pune, Maharashtra; profile shows embedding-based retrieval, vector search and trusted skills in embeddings, vector search, pinecone. Behavioral score is 0.74: last active 2026-05-21, response rate 0.42, notice 30 days."
CAND_0077285,18,0.913452,"Recommendation Systems Engineer with 5.5 years in Ahmedabad, Gujarat; profile shows information retrieval, recommendation and trusted skills in embeddings, information retrieval, sentence transformers. Behavioral score is 0.77: last active 2026-05-03, response rate 0.56, notice 60 days."
CAND_0079387,19,0.913200,"AI Engineer with 6.9 years in Trivandrum, Kerala; profile shows semantic search, vector search and trusted skills in vector search, recommendation systems, sentence transformers. Behavioral score is 0.84: last active 2026-04-25, response rate 0.81, notice 30 days."
CAND_0000031,20,0.913007,"Recommendation Systems Engineer with 6.0 years in Hyderabad, Telangana; profile shows embedding-based retrieval, information retrieval and trusted skills in embeddings, information retrieval, sentence transformers. Behavioral score is 0.76: last active 2026-05-24, response rate 0.91, notice 60 days."
CAND_0042506,21,0.911813,"Search Engineer with 4.2 years in Mumbai, Maharashtra; profile shows semantic search, information retrieval and trusted skills in semantic search, information retrieval, faiss. Behavioral score is 0.80: last active 2026-05-22, response rate 0.48, notice 15 days."
CAND_0084819,22,0.911315,"Search Engineer with 4.5 years in Indore, Madhya Pradesh; profile shows semantic search, information retrieval and trusted skills in semantic search, information retrieval, recommendation systems. Behavioral score is 0.76 with last activity 2026-05-09; concern: 120-day notice."
CAND_0045250,23,0.907861,"Applied ML Engineer with 6.6 years in Delhi, Delhi; profile shows embedding-based retrieval, vector search and trusted skills in embeddings, vector search, sentence transformers. Behavioral score is 0.73: last active 2026-04-29, response rate 0.74, notice 15 days."
CAND_0075574,24,0.907146,"Machine Learning Engineer with 5.7 years in Bangalore, Karnataka; profile shows vector search, recommendation and trusted skills in vector search, recommendation systems, bm25. Behavioral score is 0.77: last active 2026-05-17, response rate 0.58, notice 60 days."
CAND_0069905,25,0.905436,"Applied ML Engineer with 6.6 years in Bhubaneswar, Odisha; profile shows embedding-based retrieval, semantic search and trusted skills in recommendation systems, sentence transformers, learning to rank. Behavioral score is 0.76 with last activity 2026-04-21; concern: 90-day notice."
CAND_0066376,26,0.899919,"Applied ML Engineer with 5.7 years in Mumbai, Maharashtra; profile shows semantic search, information retrieval and trusted skills in semantic search, information retrieval, recommendation systems. Behavioral score is 0.70 with last activity 2026-05-03; concern: 90-day notice."
CAND_0054123,27,0.899818,"Applied ML Engineer with 4.7 years in Gurgaon, Haryana; profile shows semantic search, vector search and trusted skills in semantic search, vector search, qdrant. Behavioral score is 0.74: last active 2026-05-08, response rate 0.87, notice 60 days."
CAND_0017960,28,0.899398,"Recommendation Systems Engineer with 7.7 years in Bangalore, Karnataka; profile shows semantic search, information retrieval and trusted skills in information retrieval, qdrant, python. Behavioral score is 0.80: last active 2026-04-27, response rate 0.72, notice 60 days."
CAND_0083307,29,0.895891,"Search Engineer with 7.8 years in Vizag, Andhra Pradesh; profile shows semantic search, vector search and trusted skills in embeddings, semantic search, vector search. Behavioral score is 0.70 with last activity 2026-03-21; concern: 120-day notice."
CAND_0061265,30,0.894494,"Recommendation Systems Engineer with 6.6 years in Delhi, Delhi; profile shows embedding-based retrieval, semantic search and trusted skills in embeddings, vector search, learning to rank. Behavioral score is 0.73 with last activity 2026-03-25; concern: 120-day notice."
CAND_0064904,31,0.893688,"AI Engineer with 4.9 years in Hyderabad, Telangana; profile shows embedding-based retrieval, vector search and trusted skills in embeddings, vector search, recommendation systems. Behavioral score is 0.72 with last activity 2026-03-17; concern: 90-day notice."
CAND_0026532,32,0.892864,"Recommendation Systems Engineer with 4.8 years in Chennai, Tamil Nadu; profile shows semantic search, information retrieval and trusted skills in embeddings, semantic search, information retrieval. Behavioral score is 0.67 with last activity 2026-03-28; concern: 90-day notice."
CAND_0020877,33,0.888753,"Applied ML Engineer with 5.1 years in Gurgaon, Haryana; profile shows semantic search, information retrieval and trusted skills in information retrieval, qdrant, weaviate. Behavioral score is 0.68: last active 2026-04-03, response rate 0.66, notice 60 days."
CAND_0062247,34,0.888392,"AI Engineer with 7.3 years in Kochi, Kerala; profile shows embedding-based retrieval, semantic search and trusted skills in vector search, information retrieval, learning to rank. Behavioral score is 0.80: last active 2026-04-23, response rate 0.78, notice 30 days."
CAND_0075249,35,0.886904,"Applied ML Engineer with 6.2 years in Ahmedabad, Gujarat; profile shows embedding-based retrieval, semantic search and trusted skills in sentence transformers, learning to rank, bm25. Behavioral score is 0.74: last active 2026-04-09, response rate 0.82, notice 45 days."
CAND_0050454,36,0.886855,"AI Engineer with 6.8 years in Delhi, Delhi; profile shows embedding-based retrieval, semantic search and trusted skills in bm25, faiss, qdrant. Behavioral score is 0.80: last active 2026-04-27, response rate 0.77, notice 30 days."
CAND_0039383,37,0.886275,"Applied ML Engineer with 7.1 years in Gurgaon, Haryana; profile shows semantic search, vector search and trusted skills in vector search, recommendation systems, faiss. Behavioral score is 0.74 with last activity 2026-03-19; concern: 90-day notice."
CAND_0081686,38,0.885555,"Search Engineer with 6.0 years in Austin; profile shows semantic search, recommendation and trusted skills in embeddings, semantic search, faiss. Behavioral score is 0.74: last active 2026-04-25, response rate 0.91, notice 60 days."
CAND_0065195,39,0.883524,"Search Engineer with 5.1 years in Kolkata, West Bengal; profile shows embedding-based retrieval, recommendation and trusted skills in learning to rank, qdrant, elasticsearch. Behavioral score is 0.86: last active 2026-05-24, response rate 0.80, notice 45 days."
CAND_0016163,40,0.882938,"Applied ML Engineer with 6.7 years in Gurgaon, Haryana; profile shows embedding-based retrieval, semantic search and trusted skills in embeddings, pinecone, weaviate. Behavioral score is 0.75 with last activity 2026-04-11; concern: 120-day notice."
CAND_0051292,41,0.882375,"Applied ML Engineer with 5.2 years in Trivandrum, Kerala; profile shows semantic search, vector search and trusted skills in vector search, faiss, elasticsearch. Behavioral score is 0.74: last active 2026-04-12, response rate 0.52, notice 30 days."
CAND_0055905,42,0.881313,"Senior Machine Learning Engineer with 8.1 years in London; profile shows hybrid retrieval, dense vector and trusted skills in embeddings, vector search, information retrieval. Behavioral score is 0.85: last active 2026-05-17, response rate 0.87, notice 30 days."
CAND_0078492,43,0.880869,"Recommendation Systems Engineer with 5.1 years in Kochi, Kerala; profile shows semantic search, recommendation and trusted skills in recommendation systems, bm25, faiss. Behavioral score is 0.74 with last activity 2026-04-01; concern: some impossible skill-duration signals."
CAND_0028793,44,0.879757,"Search Engineer with 7.2 years in Trivandrum, Kerala; profile shows semantic search, information retrieval and trusted skills in embeddings, information retrieval, learning to rank. Behavioral score is 0.73 with last activity 2026-04-13; concern: 120-day notice."
CAND_0044855,45,0.879335,"Senior Data Scientist with 6.6 years in Coimbatore, Tamil Nadu; profile shows semantic search, vector search and trusted skills in embeddings, vector search, information retrieval. Behavioral score is 0.71: last active 2026-04-24, response rate 0.57, notice 60 days."
CAND_0025640,46,0.879105,"AI Research Engineer with 5.6 years in Jaipur, Rajasthan; profile shows semantic search, information retrieval and trusted skills in semantic search, information retrieval, recommendation systems. Behavioral score is 0.84: last active 2026-05-03, response rate 0.87, notice 30 days."
CAND_0014440,47,0.878819,"Recommendation Systems Engineer with 6.4 years in Chennai, Tamil Nadu; profile shows embedding-based retrieval, recommendation and trusted skills in faiss, qdrant, milvus. Behavioral score is 0.82: last active 2026-05-10, response rate 0.64, notice 60 days."
CAND_0086151,48,0.877308,"Recommendation Systems Engineer with 7.7 years in Vizag, Andhra Pradesh; profile shows semantic search, recommendation and trusted skills in embeddings, recommendation systems, sentence transformers. Behavioral score is 0.62 with last activity 2026-03-23; concern: 120-day notice."
CAND_0054394,49,0.877295,"Recommendation Systems Engineer with 4.1 years in Pune, Maharashtra; profile shows semantic search, recommendation and trusted skills in embeddings, pinecone, machine learning. Behavioral score is 0.80: last active 2026-05-04, response rate 0.64, notice 30 days."
CAND_0012957,50,0.876000,"Search Engineer with 4.9 years in Chennai, Tamil Nadu; profile shows embedding-based retrieval, recommendation and trusted skills in embeddings, bm25, qdrant. Behavioral score is 0.67 with last activity 2026-05-02; concern: 120-day notice."
CAND_0095528,51,0.875289,"Senior Data Scientist with 5.3 years in Indore, Madhya Pradesh; profile shows semantic search, vector search and trusted skills in semantic search, vector search, qdrant. Behavioral score is 0.75: last active 2026-05-03, response rate 0.55, notice 45 days."
CAND_0008239,52,0.874932,"AI Engineer with 4.0 years in Jaipur, Rajasthan; profile shows semantic search, vector search and trusted skills in semantic search, vector search, recommendation systems. Behavioral score is 0.74: last active 2026-03-15, response rate 0.73, notice 15 days."
CAND_0051630,53,0.874502,"Machine Learning Engineer with 6.0 years in Kolkata, West Bengal; profile shows semantic search, information retrieval and trusted skills in embeddings, information retrieval, recommendation systems. Behavioral score is 0.61 with last activity 2026-04-04; concern: 90-day notice."
CAND_0030031,54,0.874317,"AI Engineer with 5.7 years in Trivandrum, Kerala; profile shows vector search, information retrieval and trusted skills in vector search, information retrieval, sentence transformers. Behavioral score is 0.77: last active 2026-05-22, response rate 0.94, notice 30 days."
CAND_0043228,55,0.872807,"Applied ML Engineer with 6.8 years in Chennai, Tamil Nadu; profile shows semantic search, vector search and trusted skills in vector search, sentence transformers, learning to rank. Behavioral score is 0.73 with last activity 2026-05-22; concern: some impossible skill-duration signals."
CAND_0041568,56,0.871924,"Search Engineer with 5.2 years in Sydney; profile shows semantic search, vector search and trusted skills in semantic search, vector search, recommendation systems. Behavioral score is 0.68 with last activity 2026-04-06; concern: 90-day notice."
CAND_0070398,57,0.870557,"Machine Learning Engineer with 7.2 years in Kochi, Kerala; profile shows semantic search, information retrieval and trusted skills in embeddings, information retrieval, recommendation systems. Behavioral score is 0.66 with last activity 2026-04-14; concern: 120-day notice."
CAND_0070202,58,0.870166,"Machine Learning Engineer with 5.1 years in Jaipur, Rajasthan; profile shows embedding-based retrieval, semantic search and trusted skills in embeddings, semantic search, learning to rank. Behavioral score is 0.68 with last activity 2026-05-20; concern: 90-day notice."
CAND_0036437,59,0.869864,"Search Engineer with 4.8 years in Kolkata, West Bengal; profile shows vector search, recommendation and trusted skills in vector search, sentence transformers, faiss. Behavioral score is 0.78: last active 2026-05-14, response rate 0.87, notice 30 days."
CAND_0089552,60,0.867340,"Machine Learning Engineer with 6.0 years in Kolkata, West Bengal; profile shows semantic search, vector search and trusted skills in semantic search, vector search, sentence transformers. Behavioral score is 0.59 with last activity 2026-04-27; concern: 120-day notice."
CAND_0093912,61,0.866974,"Senior Data Scientist with 5.3 years in Chandigarh, Chandigarh; profile shows semantic search, vector search and trusted skills in embeddings, vector search, recommendation systems. Behavioral score is 0.86: last active 2026-05-11, response rate 0.66, notice 30 days."
CAND_0049896,62,0.866273,"Search Engineer with 7.3 years in Vizag, Andhra Pradesh; profile shows vector search, information retrieval and trusted skills in vector search, information retrieval, sentence transformers. Behavioral score is 0.72 with last activity 2026-05-17; concern: 90-day notice."
CAND_0029367,63,0.864873,"Senior Data Scientist with 5.7 years in Bangalore, Karnataka; profile shows semantic search, vector search and trusted skills in vector search, recommendation systems, sentence transformers. Behavioral score is 0.73 with last activity 2026-05-20; concern: 90-day notice."
CAND_0074225,64,0.864594,"Machine Learning Engineer with 4.3 years in Vizag, Andhra Pradesh; profile shows semantic search, vector search and trusted skills in semantic search, vector search, recommendation systems. Behavioral score is 0.79 with last activity 2026-05-20; concern: 120-day notice."
CAND_0081852,65,0.863938,"Senior Data Scientist with 5.9 years in Delhi, Delhi; profile shows embedding-based retrieval, semantic search and trusted skills in semantic search, vector search, weaviate. Behavioral score is 0.78: last active 2026-05-23, response rate 0.44, notice 45 days."
CAND_0018549,66,0.863912,"Recommendation Systems Engineer with 6.8 years in Coimbatore, Tamil Nadu; profile shows embedding-based retrieval, recommendation and trusted skills in qdrant, weaviate, milvus. Behavioral score is 0.77: last active 2026-04-28, response rate 0.73, notice 60 days."
CAND_0036184,67,0.863162,"Recommendation Systems Engineer with 6.0 years in Trivandrum, Kerala; profile shows semantic search, vector search and trusted skills in embeddings, semantic search, vector search. Behavioral score is 0.84: last active 2026-05-26, response rate 0.90, notice 30 days."
CAND_0053695,68,0.862863,"Recommendation Systems Engineer with 5.8 years in Bhubaneswar, Odisha; profile shows semantic search, recommendation and trusted skills in embeddings, recommendation systems, sentence transformers. Behavioral score is 0.73: last active 2026-04-02, response rate 0.60, notice 15 days."
CAND_0007412,69,0.862513,"Applied ML Engineer with 7.4 years in Noida, Uttar Pradesh; profile shows recommendation, ranking and trusted skills in recommendation systems, bm25, pinecone. Behavioral score is 0.75 with last activity 2026-04-19; concern: 120-day notice."
CAND_0080766,70,0.860908,"Staff Machine Learning Engineer with 8.8 years in Coimbatore, Tamil Nadu; profile shows dense vector, semantic search and trusted skills in milvus, opensearch, elasticsearch. Behavioral score is 0.72: last active 2026-04-09, response rate 0.66, notice 0 days."
CAND_0005649,71,0.860090,"Senior Data Scientist with 7.4 years in Delhi, Delhi; profile shows semantic search, information retrieval and trusted skills in semantic search, information retrieval, recommendation systems. Behavioral score is 0.74 with last activity 2026-04-14; concern: 90-day notice."
CAND_0032515,72,0.860029,"Machine Learning Engineer with 5.1 years in Seattle; profile shows semantic search, vector search and trusted skills in semantic search, vector search, milvus. Behavioral score is 0.73: last active 2026-05-14, response rate 0.54, notice 45 days."
CAND_0043860,73,0.858278,"Junior ML Engineer with 6.1 years in Bhubaneswar, Odisha; profile shows semantic search, vector search and trusted skills in semantic search, vector search, information retrieval. Behavioral score is 0.89: last active 2026-05-26, response rate 0.81, notice 30 days."
CAND_0022812,74,0.857360,"Applied ML Engineer with 4.5 years in Coimbatore, Tamil Nadu; profile shows semantic search, recommendation and trusted skills in sentence transformers, pinecone, qdrant. Behavioral score is 0.68: last active 2026-03-19, response rate 0.79, notice 60 days."
CAND_0018722,75,0.856312,"Recommendation Systems Engineer with 6.6 years in Toronto; profile shows embedding-based retrieval, semantic search and trusted skills in recommendation systems, weaviate, python. Behavioral score is 0.81 with last activity 2026-04-24; concern: 90-day notice."
CAND_0075439,76,0.854825,"Machine Learning Engineer with 4.3 years in Vizag, Andhra Pradesh; profile shows semantic search, vector search and trusted skills in embeddings, semantic search, vector search. Behavioral score is 0.76: last active 2026-05-07, response rate 0.56, notice 30 days."
CAND_0053591,77,0.854278,"AI Engineer with 5.3 years in Toronto; profile shows semantic search, recommendation and trusted skills in embeddings, sentence transformers, bm25. Behavioral score is 0.84: last active 2026-05-17, response rate 0.81, notice 60 days."
CAND_0044222,78,0.854246,"AI Engineer with 7.7 years in Vizag, Andhra Pradesh; profile shows embedding-based retrieval, semantic search and trusted skills in vector search, bm25, qdrant. Behavioral score is 0.76: last active 2026-05-15, response rate 0.60, notice 60 days."
CAND_0030953,79,0.853859,"Search Engineer with 7.8 years in Chennai, Tamil Nadu; profile shows embedding-based retrieval, semantic search and trusted skills in learning to rank, qdrant, weaviate. Behavioral score is 0.67: last active 2026-04-11, response rate 0.63, notice 45 days."
CAND_0079064,80,0.853222,"Senior Data Scientist with 5.2 years in Noida, Uttar Pradesh; profile shows semantic search, recommendation and trusted skills in semantic search, recommendation systems, pinecone. Behavioral score is 0.76 with last activity 2026-04-13; concern: 120-day notice."
CAND_0037944,81,0.851696,"Senior Data Scientist with 4.9 years in Jaipur, Rajasthan; profile shows vector search, recommendation and trusted skills in embeddings, vector search, sentence transformers. Behavioral score is 0.72: last active 2026-03-22, response rate 0.42, notice 30 days."
CAND_0076251,82,0.848236,"Search Engineer with 7.6 years in Bhubaneswar, Odisha; profile shows embedding-based retrieval, semantic search and trusted skills in semantic search, learning to rank, weaviate. Behavioral score is 0.71 with last activity 2026-04-15; concern: some impossible skill-duration signals."
CAND_0040887,83,0.847998,"Machine Learning Engineer with 4.7 years in Toronto; profile shows semantic search, recommendation and trusted skills in recommendation systems, faiss, milvus. Behavioral score is 0.86: last active 2026-05-24, response rate 0.84, notice 15 days."
CAND_0046525,84,0.847479,"Senior Machine Learning Engineer with 6.1 years in Pune, Maharashtra; profile shows hybrid retrieval, dense vector and trusted skills in information retrieval, sentence transformers, qdrant. Behavioral score is 0.83 with last activity 2026-05-23; concern: limited product-company signal."
CAND_0061339,85,0.847205,"Search Engineer with 4.2 years in Chandigarh, Chandigarh; profile shows embedding-based retrieval, vector search and trusted skills in vector search, information retrieval, milvus. Behavioral score is 0.74 with last activity 2026-04-06; concern: 90-day notice."
CAND_0076831,86,0.846908,"Search Engineer with 4.0 years in Delhi, Delhi; profile shows semantic search, recommendation and trusted skills in bm25, weaviate, milvus. Behavioral score is 0.69 with last activity 2026-05-14; concern: 90-day notice."
CAND_0072660,87,0.845870,"Machine Learning Engineer with 7.1 years in Berlin; profile shows semantic search, information retrieval and trusted skills in information retrieval, faiss, opensearch. Behavioral score is 0.79: last active 2026-05-24, response rate 0.53, notice 30 days."
CAND_0006567,88,0.845086,"Senior AI Engineer with 7.9 years in Noida, Uttar Pradesh; profile shows information retrieval, recommendation and trusted skills in recommendation systems, bm25, python. Behavioral score is 0.82: last active 2026-05-03, response rate 0.79, notice 60 days."
CAND_0098846,89,0.844331,"AI Engineer with 7.6 years in Indore, Madhya Pradesh; profile shows recommendation, ranking and trusted skills in recommendation systems, qdrant, machine learning. Behavioral score is 0.80: last active 2026-04-23, response rate 0.62, notice 45 days."
CAND_0009691,90,0.842256,"Applied ML Engineer with 6.2 years in Indore, Madhya Pradesh; profile shows semantic search, recommendation and trusted skills in recommendation systems, sentence transformers, faiss. Behavioral score is 0.69 with last activity 2026-05-16; concern: 120-day notice."
CAND_0053605,91,0.841508,"Senior Software Engineer (ML) with 6.9 years in Noida, Uttar Pradesh; profile shows semantic search, recommendation and trusted skills in semantic search, bm25, pgvector. Behavioral score is 0.88: last active 2026-05-22, response rate 0.88, notice 30 days."
CAND_0047721,92,0.840758,"Senior Data Scientist with 7.0 years in Coimbatore, Tamil Nadu; profile shows information retrieval, recommendation and trusted skills in information retrieval, learning to rank, bm25. Behavioral score is 0.64 with last activity 2026-04-05; concern: 90-day notice."
CAND_0037000,93,0.840624,"Search Engineer with 2.7 years in Noida, Uttar Pradesh; profile shows embedding-based retrieval, semantic search and trusted skills in embeddings, semantic search, sentence transformers. Behavioral score is 0.72: last active 2026-05-16, response rate 0.61, notice 15 days."
CAND_0052335,94,0.838235,"Applied ML Engineer with 6.4 years in Berlin; profile shows semantic search, recommendation and trusted skills in semantic search, sentence transformers, learning to rank. Behavioral score is 0.75: last active 2026-04-10, response rate 0.79, notice 60 days."
CAND_0024466,95,0.837865,"Search Engineer with 5.2 years in Toronto; profile shows embedding-based retrieval, recommendation and trusted skills in recommendation systems, sentence transformers, bm25. Behavioral score is 0.66 with last activity 2026-05-22; concern: 120-day notice."
CAND_0051004,96,0.837398,"Senior Data Scientist with 4.7 years in Delhi, Delhi; profile shows embedding-based retrieval, semantic search and trusted skills in embeddings, semantic search, vector search. Behavioral score is 0.76: last active 2026-05-05, response rate 0.41, notice 15 days."
CAND_0015528,97,0.837064,"Applied ML Engineer with 7.4 years in Coimbatore, Tamil Nadu; profile shows embedding-based retrieval, information retrieval and trusted skills in information retrieval, faiss, weaviate. Behavioral score is 0.65: last active 2026-04-16, response rate 0.53, notice 30 days."
CAND_0008295,98,0.836762,"AI Research Engineer with 6.5 years in Pune, Maharashtra; profile shows recommendation, ranking and trusted skills in bm25, weaviate, python. Behavioral score is 0.87: last active 2026-05-26, response rate 0.89, notice 45 days."
CAND_0024620,99,0.836051,"AI Engineer with 5.9 years in New York; profile shows embedding-based retrieval, semantic search and trusted skills in semantic search, information retrieval, recommendation systems. Behavioral score is 0.76: last active 2026-04-12, response rate 0.41, notice 45 days."
CAND_0092255,100,0.834496,"ML Engineer with 5.2 years in Noida, Uttar Pradesh; profile shows semantic search, vector search and trusted skills in semantic search, vector search, learning to rank. Behavioral score is 0.71: last active 2026-05-07, response rate 0.38, notice 60 days."
